ORPHAcode_target;DiseaseName_target;n_exact_donors;ORPHAcode_donors;DiseaseName_donors;HPO_ID;HPO_Label;donor_count;Supporting_ORPHAcode_donors;candidate_type;is_selected;is_fully_supported
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001250;Seizure;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001251;Ataxia;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001263;Global developmental delay;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001269;Hemiparesis;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001270;Motor delay;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001274;Agenesis of corpus callosum;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001288;Gait disturbance;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001298;Encephalopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001324;Muscle weakness;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001328;Specific learning disability;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001336;Myoclonus;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001345;Psychotic mentation;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001508;Failure to thrive;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001638;Cardiomyopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001639;Hypertrophic cardiomyopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001644;Dilated cardiomyopathy;1;550;single_donor;False;False
